porter,n. 门房；服务员；行李搬运工；守门人
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
throw sth. out,"na. 投出；拒绝；否决(议案)；派出
 扔掉；赶走；扔出"
sack,"n. 麻布袋；洗劫
vt. 解雇；把……装入袋；劫掠"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
aircraft,n. 飞机，航空器
endless,adj. 无止境的；连续的；环状的；漫无目的的
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
unexplored,adj.  未勘查过的
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
exploration,n. 探测；探究；踏勘
ability,n. 能力，能耐；才能
Chopin,找不到解释
at any rate,"na. 无论如何；至少；总而言之
 不管怎样；反正；总之"
at heart,"na. 内心里
 本质上；在内心里；实质上"
at times,"na. 时时
 有时；有时候；时常"
completely,adv. 完全地，彻底地；完整地
at a loss,"na. 无办法；(猎犬)失去猎物嗅迹；亏本地
 不知所措；困惑；茫然"
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
succeed in sth.,找不到解释
empty,"n. 空车；空的东西
adj. 空的；无意义的；无知的；徒劳的
vt. 使失去；使…成为空的
vi. 成为空的；流空"
sightless,adj. 盲的；看不见的
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
strap,"n. 带；皮带；磨刀皮带；鞭打
vt. 用带捆绑；用皮条抽打；约束
vi. 精力旺盛地工作；受束缚"
possession,n. 拥有；财产；领地；自制；着迷
in sb.'s possession,找不到解释
run after sb.,找不到解释
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
out of breath,"na. 大喘气
 喘不过气来；上气不接下气；气喘吁吁"
catch up with sb.,找不到解释
catch up with sth.,找不到解释
go through sth.,找不到解释
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
daring,"n. 胆量，勇气
v. 敢（dare的现在分词）
adj. 大胆的，勇敢的"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
conscience,n. 道德心，良心
savings,n. 储蓄；存款；救助；节省物（saving的复数形式）
villager,n. 乡村居民，村民
per cent,"adj. 每一百中
n. 百分之…
 百分数；百分率；百分比"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
 及时；钟点战；时间规划局"
fire brigade,"n. 消防队；消防队员
 消防局；救火队；企业专职消防队"
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
break in,"na. 闯入；插嘴；驯(马)；训练(人)
 打断；强行进入；插话"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
threaten sb. with sth.,找不到解释
unload,"vt. 卸；摆脱…之负担；倾销
vi. 卸货；退子弹"
clothing,"n. （总称） 服装；帆装
v. 覆盖（clothe的ing形式）；给…穿衣"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
account for sth.,找不到解释
extremely,adv. 非常，极其；极端地
occur,vi. 发生；出现；存在
occur to sb.,找不到解释
open sth. up,"na. (打)开；割开；开发(资源)；揭示
 打开；开辟；开放"
astonish,vt. 使惊讶
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
confine sb. to sth.,找不到解释
confine sth. to sth.,找不到解释
employee,n. 雇员；从业员工
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
suggestion,n. 建议；示意；微量，细微的迹象
reaction,n. 反应，感应；反动，复古；反作用
rudeness,n. 无礼；粗蛮
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
exchange sth. for sth.,找不到解释
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
interfere with sth.,找不到解释
intention,n. 意图；目的；意向；愈合
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
amount to sth.,找不到解释
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
appeal to sb. about sth.,找不到解释
appeal to sb. about sb.,找不到解释
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
apply to sb. for sth.,找不到解释
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
attach sth. to sth.,找不到解释
condemn,vt. 谴责；判刑，定罪；声讨
condemn sb. to sth.,找不到解释
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
confess sth. to sb.,找不到解释
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
consent to sth.,找不到解释
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
convert sb. to sth.,找不到解释
convert sth. to sth.,找不到解释
entitle,vt. 称做…；定名为…；给…称号；使…有权利
entitle sb. to sth.,找不到解释
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
object to sb.,找不到解释
object to sth.,找不到解释
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
prefer sb. to sb.,找不到解释
prefer sth. to sth.,找不到解释
see to sth.,找不到解释
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
submit sth. to sb.,找不到解释
submit sb. to sb.,找不到解释
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
yield to sb.,找不到解释
yield sth. to sb.,找不到解释
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
act for sb.,找不到解释
mourn,v. 哀悼；忧伤；服丧
mourn for sb.,找不到解释
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
communicate with sb.,找不到解释
communicate sth. to sb.,找不到解释
communicate to sb. about sth.,找不到解释
comply,vi. 遵守；顺从，遵从；答应
comply with sth.,找不到解释
confuse,vt. 使混乱；使困惑
confuse sb. with sb.,找不到解释
confuse sth. with sth.,找不到解释
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
contrast sth. with sth.,找不到解释
contrast sb. with sb.,找不到解释
cope,"n. 长袍
vi. 处理；对付；竞争"
cope with sb.,找不到解释
cope with sth.,找不到解释
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
be disgusted with sb.,找不到解释
be disgusted with sth.,找不到解释
occupy,vt. 占据，占领；居住；使忙碌
be occupied with sth.,找不到解释
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
part with sth.,找不到解释
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
reason with sb.,找不到解释
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
be satisfied with sb.,找不到解释
indifference,n. 漠不关心；冷淡；不重视；中立
woody,adj. 木质的；多树木的；木头似的
interpret,"vi. 解释；翻译
vt. 说明；口译"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
ghost,"n. 鬼，幽灵
vt. 作祟于；替…捉刀；为人代笔
vi. 替人代笔"
public house,"na. 客栈；酒吧
 酒馆；酒店；公房"
up for sale, 有待出售；标价出售；公开出售
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
Rolls-Royce,"n. 劳斯莱斯
adj. 最佳的"
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
whisper sth. to sb.,找不到解释
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下"
pull sth. out,找不到解释
cotton wool,"n. 药棉；脱脂棉
 棉絮；棉花；原棉"
match box,"un. 匹配箱
 火柴盒；火柴盒铁杯垫；火材盒车模"
search sth. out,找不到解释
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
remove sth. from sth.,找不到解释
eventually,adv. 最后，终于
damaged,"v. 损害（damage的过去式和过去分词）
adj. 被损坏的"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
assembly,n. 装配；集会，集合
gathering,"n. 聚集；集会；收款
v. 聚集（gather的ing形式）"
congregation,n. 集会；集合；圣会
however,"conj. 无论以何种方式; 不管怎样
adv. 无论如何；不管怎样（接副词或形容词）；然而；可是"
in the meantime,"na. 在这期间
 与此同时；在此期间；其间"
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
although,conj. 尽管；虽然；但是；然而
take sth. up,"na. 拿起；举起；拾起；给搭(火车等)
 占据；从事；开始"
