abase,vt. 使…谦卑；降低…的品格；降低…的地位
call up,"na. 传；动员；打电话给；呼唤
 召集；使想起；召唤"
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
 继续；继续下去；进行"
carry out,"na. 实行；开展；完成
 执行；实现；贯彻"
cast aside,"na. 抛弃
 废除；消除；唾弃"
cast light on, 映照；阐明；使明白
shed light on,"na. 阐明；解释；将…弄明白；照亮
 说明；阐明某事；使某事清楚"
throw light on,"na. 弄明白
 阐明；解释；说明"
cast light upon,阐明;使人理解某事;使某事更为清楚 
shed light upon,阐明;使人理解某事;使某事更为清楚 
throw light upon, 阐明，使…清楚
catch a glimpse of,"na. 瞥见；看一眼
 瞥一眼；瞥见了；匆匆一瞥"
cater to,"v. 迎合
 投合；满足某种需要或要求；满足……的需要"
charge sb. with,"na. 托付；使负…的罪名；使受…的责备
 控告；指控；指控…犯有罪"
civil servant,"n. 公务员；政府官员
 文职人员；文官；行政能力倾向测试是公务员"
click on, 点击；用鼠标点击；单击
cling to,"v. 依附；坚持
 墨守；紧紧抓住；附着"
come in handy,"na. 迟早有用
 派得上用场；派上用场；有用得着的时候"
come into existence,"na. 产生；成立
 开始存在；形成；出现"
come into use,"na. (某物)开始被使用
 开始使用；投入使用；开始投入使用"
come off,"na. 同“come across”；(人)走了；(扣子,齿,发)脱落
 成功；实现；举行"
come to,"na. 总计为；结果是；苏醒；把船朝着风头
 达到；来到；恢复知觉"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
 赶上；找到；想出某事"
comment on,"v. 评论
 对…评论；对…发表评论；对……的评论"
compare with,"na. 和…比较
 与…相比；与…相比较；与…比较"
compare ... to,
compatible with,"adj. 与…不矛盾
 与……相容；符合；兼容"
compensate for,"v. 补偿；抵偿
 赔偿；弥补；补偿损失"
compete with,"v. 竞争
 与……竞争；与…抗争；高下"
complain about,"v. 埋怨
 抱怨；抱怨某事；抱怨某人或事情"
concentrate on,"na. 集中在；专心于
 全神贯注于；专注于；集中精力于"
conclude from, 相信某事物；从··推断出；从···中得出结论
consist of,"v. 由…合成
 由……组成；由…构成；包括"
contrary to,"na. 跟…相反
 与……相反；违反；和…相反"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
cope with,"v. 对付；应付
 处理；应对；解决"
core values, 核心价值观；公司核心价值观；金地核心价值观
count on,"na. 指望；预料到；期望
 依靠；依赖；期待"
couple sb. with sb.,
couple sth. with sb.,
couple sb. with sth.,
couple sth. with sth.,
crack down,"na. 敏捷地做；拼命做
 镇压；制裁；打击"
crack down on,"na. 对…进行制裁
 打击；镇压；严打"
creative expression, 创造性表达；创意表达；展现创意
cut across,"na. 对直穿过；同“cut”
 抄近路；抄近路穿过；走捷径"
cut corners,"na. 走捷径
 抄近路；超近路；偷工减料"
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
 插嘴；插嘴，打断；超车抢挡"
cut off,"na. 削除；截止；截断(退路等)；割下来
 切断；断绝；切掉"
date back to,"na. 回溯至
 追溯到；始于；可追溯到"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
decline in,在…方面逐渐衰弱(或败落)
decorate ... with,"v. 装饰以
 以…来装饰；用…装饰；以…装饰"
dedicate ... to,
deliberate practice,
delicate situation,
dependence on, 依赖；依靠；信赖
deprive ... of,"un. 剥夺
 剥夺某人的；使失去；使丧失"
derive from,"v. 来自；起源于
 衍生；由来；来源于"
designate ... as,
detach from,"v. 分离自
 使分开；拆卸；拆下"
die out,"na. 死绝
 灭绝；消失；逐渐消失"
distinguish A between B,
distract one's attention,
do without,"na. 无需
 没有…也行；不用；将就"
drag sb. down,"na. 挣工资；赚(钱)
 拖垮；向下拖；把人拖垮"
drag sth. down,"na. 挣工资；赚(钱)
 拖垮；向下拖；把人拖垮"
draw up,"na. 写出；正容；整(队)；拉起(鱼网等)
 起草；草拟；停住"
dream up,"na. 凭空想出；凭空捏造出
 虚构；创造；梦想"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
 穿上盛装；装饰；精心打扮"
drive away,"v. 赶走
 开走；把车开走；离开"
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
 退学；辍学；掉落"
due to,"un. 由于；预定；因为；亏
 应归于；由於；由…引起"
earn one's living, 谋生；营生；挣钱维持生计
easy game, 爱是；容易捕获的猎物；易捕获的猎物
echo with, （指某处）回荡（某声音）
economic crisis,"na. 经济危机
 金融危机；全球经济危机；经济危急"
eligible for, 合格；对……合格；够资格
eliminate from, 从…中消除；从……排除；去除
embark on,"un. 着手
 从事；开始；开始着手做某事"
embark upon,"un. 登
 开始；开始，从事，着手；开始工作"
emerge from,"v. 从…里露出
 出现；暴露；曾经一度遭到"
eminent scholar,n.著名学者
encounter with,偶然遇见，偶然碰到(朋友等)；遭逢(敌人等)；遭遇(危险等)；与…冲突
end up with,"na. 以…而告终
 以…而结束；以…结束；以……告终"
engage in,"na. 从事；参加
 参与；从事于；忙于"
enroll in,"v. 登记
 报名参加；参加；加入"
enthusiasm for,"na. (运动)热
 热爱；热衷；热心"
flu epidemic,
even if,"na. 即使…也
 纵然；就算；甚至"
even though,"na. “even if”的变体
 即使；尽管；虽然"
ever since,"na. 从…以来
 从那时起；自从；此后一直"
evident in,
except for,"na. 只有
 除了；除…之外；除了……之外"
exclude ... from, 把…排斥于…之外；把……排除在外；同上但是使用档案
exempt from,"v. 使…免除
 豁免；免除的；免予"
extract ... from,
fail to,"v. 未能；使…失望
 不能；没有；没能做成"
fair play,"n. 按规则比赛；公平办事
 公平竞争；公平竞赛；费厄泼赖"
fall off,"na. 下降；(从马上)掉下来；扫兴颓丧；离开
 跌落；减少；衰退"
fall short of,"na. “come short”的变体；“fall short”的变体
 达不到；缺乏；不符合"
fall victim to,"v. 受害于
 成为…的牺牲品；成为……的受害者；成为牺牲品"
far from,"na. 远离；决不
 远非；完全不；远远不是"
fierce competition, 激烈竞争；激烈的竞争；竞争激烈
figure out,"na. 估计；解决；了解；确定
 想出；算出；计算出"
fill in,"na. 填充；填写；同“fill”
 填满；填入；过门"
fill out,"na. 填写(表格等)；变胖；长胖；胖起来
 填表；填好；填充"
financial assistance, 财政资助；经济援助；经济资助
find fault with,"na. 吹毛求疵；找…的岔子
 挑剔；找岔子；挑毛病"
first impression, 第一印象；上指第一印象；最初的印象
flesh out,"na. 充实；使…具体化
 使有血有肉；使之更充实并具体化；充实完整"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
for example,"na. 例如
 举例；比如；比如说"
for one thing,"na. 第一；原因之一是
 首先；一则；一方面"
for sure,"adv. 确实
 肯定地；确切地；毫无疑问"
for the most part,"na. 在极大程度上；就绝大部分而言；多半；基本上
 大多；大多数情况下；在大多数情况下"
for the sake of,"adv. 为了…起见
 为了…的利益；为了…的目的；为了…的缘故"
for the time being,"na. 暂时；一时；临时；在目前
 暂且；眼下；now暂且，就现在来说"
formal education, 正规教育；正式教育；形式教育
from the bottom up,"na. 从一开始；彻底地
 自下而上；从下到上；由下而上"
from time to time,"na. 时时
 有时；不时；不时地"
gain control over,
get control over,vt.控制
have control over,"un. 掌握；控制
 对…加以控制；对……控制；控制住"
gain an advantage over,"胜过,优于"
have an advantage over,"na. 胜过
 优于；比……有优势；比…处于有利地位"
gain profit,"un. 得利益
 利润；获利；获得利益"
make profit,"un. 谋利
 获利；盈利；赚钱"
gender inequality, 性别不平等；两性不平等；性属上不平等
get around to,"v. 找时间做
 开始考虑；抽时间做；抽出时间来做"
get round to,"v. 找时间做
 腾出时间来做；花时间和精力去做；开始考虑"
get going,"na. 采取行动；出去；使某人发怒
 开始；出发；动手"
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
 到达；收割；进站"
get into,"na. 进入；穿上；成癖；陷于
 陷入；卷入；养成"
give birth to, 生（孩子），生育; 引起，产生; 娩出; 娩
give off,"na. 发散(水蒸气等)
 发出；放出；释放"
give place to,"na. 让位于
 让位给；被…所代替；被...代替"
give priority to,"na. 把优先权让给…
 为主；优先考虑；认为优先"
give rise to,"na. 惹起
 引起；导致；使发生"
go by,"na. 走过；以…为根据(作判断)；顺道访问；受…所控制
 过去；经过；依照"
go into action,"na. 开始行动；投入战斗
 行动起来；出马"
go into,"na. 进入；(门等)通着；加入；参与
 调查；从事；研究"
go over,"na. 仔细查看；仔细搜查；排练；重温
 复习；检查；仔细检查"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
go up,"na. 上升；上城市去；腾贵；烧起来
 上涨；增长；上去"
graduate from,"v. 毕业于
 从…毕业；毕业於；从…毕业例句"
grip on,
grow out of,"na. 抛弃；戒除；长大而穿不上衣服；源出
 产生于；由…产生；长得太高大"
hand in,"na. 交进
 上交；交上；递交"
handful of,
hardly ... when,
hardly ... before,
have an effect on,"na. 对…有影响
 对……产生影响；对……产生作用；对……有效果"
have no effect on,"un. 对…有作用；对…毫无影响；并不影响
 对……没有影响；对什么毫无效果"
have faith in,"na. 相信
 信任；对……有信心；信仰"
have influence on, 对某物施加影响；对……产生影响；有影响
head for,"na. 走向
 前往；向…方向前进；朝…方向走去"
hint at,"v. 暗示；示意
 对别人暗示；对……暗示；暗指"
historical prejudice,
hold back,"na. 阻止；踌躇；隐瞒；抑制
 退缩；控制；退缩不前"
hold up,"v. 举起；支撑；耽误；抢劫
n. 抢劫；延误；堵车
 阻挡；耽搁；拿起"
if anything,"na. 甚至可能；要说呢
 若有任何不同的话；如果有什么的话；如果有什么不同的话"
if only,"na. 只要；只要…就好了
 如果能再爱一次；要是……就好了；但愿"
impose ... on,"v. 强迫；欺骗
 把…强加于；施加影响于；利用"
in a row,"na. 成一排；连续
 连续的；一连串；接连"
in addition to,"na. 加之
 除…之外；除了；除…外"
in addition,"na. 加之
 另外；此外；又"
in and out,"na. 迂曲；忽隐忽现
 进进出出；里里外外；进进出出的"
in any case,"na. 无论如何；横竖
 不管怎样；总之；在任何情况下"
in brief,"na. 简单地说
 简言之；简而言之；总之"
in broad daylight,"na. 在大白天
 光天化日；在光天化日之下；公开地"
in case,"na. 以防万一；作为准备；如果；免得
 假使；假如；以防免得"
in combination with,"na. 和…共同
 与…结合；与……合作；与……联合起来"
in common,"un. 和…有相通之处；公有
 共同；共有的；共同的"
in comparison with,"na. 和…比起来
 比较；与…比较；与…比较起来"
in conflict, 有矛盾；不一致；发生冲突
in conjunction with,"na. 与…共同；连带着
 连同；与...协力；与之伴随的"
in consequence,"na. 因此
 结果；因而；在…条件下"
in contrast with,"na. 和…成对比；和…大不相同
 与……相比；和…成对照；与……形成对比"
in contrast to,"un. 相形之下；与…相比；与…相反；与…对比
 “与……相比；与。。。相反；与……形成对照"
in detail,"na. 详细
 详细地；详细的；详尽"
in effect,"na. 实际上；总之；有效
 事实上；生效；正在实行"
in high spirit,
in keeping with,"na. 和…一致
 符合；与……协调；与…一致"
in no time,"na. 立刻
 马上；很快；立即"
in other words,"na. 换句话说
 换言之；也就是说；也就是"
in part,"na. 一部份地；有几成；在某种程度上
 部分地；一部分；有些部分"
in particular,"na. 特别；一一
 尤其；特别地；特别是"
in proportion,"un. 匀称；一分不多；按比例
 成比例；相称；成比例的"
in proportion to,"na. 与…成比例；与…相称；按…的比例(越…越…)
 成比例的；按……的比例；按比例"
in question,"adj. 在谈论中
 正在谈论的；正在考虑；正被谈论的"
in response to,"na. 应…而
 响应；回答；对…做出反应"
in search of,"na. 寻找；去找；追求；为了寻求
 为了寻找；搜索；查究"
in short,"na. 简单地说；总之
 简言之；简而言之；总而言之"
in spite of,"na. spite of 不管；无视
 尽管；不顾；虽然"
in terms of,"na. 依…；从…方面；用…特有的字眼
 根据；在...方面；按照"
in the case of,"na. 论到
 至于；就…来说；就…而言"
in the course of,"na. 在…之中
 在…过程中；在…期间；在…的过程中"
in the form of,"na. 用…的形式
 以…形式；以……的形式；以某种形式"
in the shape of,"na. 以…的形状；呈…的形状；以…的形式；作为…
 以……的形状；呈...形状；以……形状"
in the grip of,"un. 控制自己的情绪；被捏在…里；在…控制之下；患了
 受……控制；处于；受…的控制"
in the interest of,"na. 为了…的利益
 对……有利；为了……利益；符合……的利益"
in the least,"adv. 全然
 丝毫；一点；一点儿"
in the long run,"na. 归根到底；“in the long run/term”的变体
 从长远来看；最后；从长远观点看"
in the matter of,"na. 关于…；就…而论
 就而论；在…方面；就…而言"
in the past,"na. 在过去
 以往；从前；过往"
in the short term, 从短期来说；短期内；从眼前的观点看
in the long term,"na. 从长期看
 从长远角度看；从长远来看；从长远观点来看"
in the wake,紧跟，尾随；伴随而来；紧紧跟在…的后面；效仿；追随着前船的航迹(船驶过后留在水面的余迹)，跟在前船后面；随着…而来，作为…的结果
in the world,"na. 在世界上；究竟
 到底；全世界；长城是世界一大奇迹"
in theory, 理论上；从理论上看；在理论上
in turn,"na. 挨次
 依次；轮流；反过来"
in face of,"v. 当面对
 纵然，即使；面临；不顾"
in the face of,"na. 不避；不管；在…前面；面临
 面对；在...面前；不顾"
in relation to,"na. 关于…
 涉及；有关；与…相比"
with relation to,"na. 关于…
 涉及；有关；就……而论"
incur criticism,
interfere in,"v. 干涉
 干预；在某件事上打扰；相关词组"
involve sb. in,
keep secret,"na. 保守(某事)秘密
 保密；保守秘密；不告诉别人"
keep ... secret,"na. 保守(某事)秘密
 保密；保守秘密；不告诉别人"
keep a hold on,
keep away from,"v. 远离
 避开；使远离；别靠近"
keep down,"na. 压住；压服；用小活字排印；缩减
 控制；镇压；控制，压制，镇压"
keep in mind,"na. 记在心里；记住；注意
 牢记；紧记；牢记在心"
keep one's eyes open,"na. 时刻提防；留神监视
 留心看着；保持警惕；留意"
keep one's ears open,"un. 私下；竖起耳朵听听
 留心倾听；留心听；竖起耳朵仔细听"
keep track of,"na. 追踪；记录；保持联系；密切注意…的动向
 与…保持联系；跟踪；保持对……的联系"
keep up,"na. 支持；保持；继续；停歇
 维持；坚持；持续"
keep abreast of,"na. 跟着(时代)跑
 了解……的最新情况；跟贴；跟上"
be abreast of, 使不落后于
keep abreast with,"na. 跟着(时代)跑
 跟上；不落后于；跟上不落后于"
be abreast with,(使)保持与…并列; 了解…的最新情况
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
 撞倒；击倒；击落"
know of,"v. 知道有
 听说过；了解；知道为什么"
know about,"v. 知道
 了解；知道关于；知道…的情况"
last hurrah,"na. 最后的努力
 最后的狂欢；最后的一次努力图片；最后狂热"
lead up to,"na. 渐渐诱入；设法引出
 导致；引起；把…一直带领到"
lean on,"na. 靠在；倚赖；据险(固守)
 依靠；依赖；倚靠"
lean towards,"un. 倾向:
 倾向于；朝…倾斜；有……的倾向"
learn about,"v. 得知关于；学习关于
 了解；学习有关…知识；学得"
leave behind,"na. 遗留；留下；追过；留在后头
 超过；落后；丢弃"
legitimate purpose,
legitimate right, 合法权利；正当权利；合法的权利
let alone,"na. 任随；更不用说；放任；莫说…(连)
 更别提；更不必说；不管"
let in,"na. 放入；嵌入；陷入…；欺骗
 放…进来；让…进来；放进"
let off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
 免除；放过；放出"
level off,"na. 弄平；达到同一水准；(物价等)稳定；(飞机降落前)水平飞行
 达到平衡；平整；趋向平稳"
lie in,"na. 存在于；(分娩后)坐月子
 位于；睡懒觉；躺在"
linger on,"na. 同“linger ”
 流连忘返；苟延残喘；继续逗留"
live off,"na. 住在…之外；以…为生
 靠…生活；靠……供养；依赖…生活"
live with,"v. 和…住在一起；和…同居；和…妥协；容忍
 忍受；接受；与……住在一起"
log in,"na. 进入电脑工作系统；“log on”的变体
 登录；登入；登陆"
look back,"na. 回头看；回顾；追想 (to；upon)；(对事业等)不起劲
 回忆；追忆；向后看"
look back on,"v. 回顾
 回忆；回顾过去；回首"
lump together,"na. 总计
 把…混为一谈；合在一起；合并"
make a complaint, 抱怨；投诉；提出投诉
make an effort,"na. 努力作出
 作出努力；做出努力；尽一番努力"
make every effort,"na. 力求；费尽心血
 尽一切努力；尽所有的努力；尽全力"
make certain,"na. 保证
 弄清楚；弄确实；确定"
make compromises,妥协
make no difference,"un. 在意；没关系；没有差别；无动于衷
 没有影响；没有区别；没影响"
make nothing of,"na. 轻视；满不在乎；认为不在话下
 不以为意；不当一回事；不了解"
make sense,"na. (话等)有意义；合理；有道理；讲得通
 言之有理；使…有意义；好理解"
make sure of,"na. 弄明白；将…拿到手；叮嘱明白；查明无误
 弄清楚；尽力做到；一定要"
make sure that,"查明, 弄确实, 弄清楚, 保证, 设法一定做到, 务必, 如此安排"
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
mass transport system,
massive attention,
medical practitioner, 医生；执业医师；开业医生
meet with,"na. 碰见；遭遇；偶然发现；达到
 遇见；遇到；碰到"
minimum wage,"n. （法定的）最低工资
 保底工资；法定最工资；基本工资"
minority language,少数民族语言
monetary policy,"un. 金融政策
 货币政策；贷币政策；独立自主的货币政策"
move away, 离开; 搬到别处去住; 改变（见解）; 挪开
move forward,"na. 前进
 向前发展；向前移动；向前进"
move up,"na. 提上
 上移；向上移动；提升"
negative effect,"n. 消极作用
 负磁力效应；负面影响；负效应"
negative influence, 消极作用；负面影响；负影响
neglect of, 疏忽；对…的疏忽
no doubt,"na. 无疑地；很可能
 毫无疑问；必定；不要怀疑合唱团"
no matter how,"na. 不管怎样
 无论怎样；无论怎么样；不管如何"
no matter what,"na. 不管怎什么
 无论如何；无论什么；不管什么"
no matter when,"na. 不管怎什么时候
 无论什么时候；无论何时；不管什么时候"
no more than,"na. 不过是；仅仅
 至多；只是；只不过"
nothing but,"na. 不外；的确
 只有；只不过；只是"
now and then, 偶尔；时而；不时
obstacle to, 纪念碑；障碍；的障碍
occur to, 想到；被想起；被想到
of no account,"na. 不重要的
 无价值的；毫不重要；无足轻重"
on average, 平均；平均起来；通常
on the average,"na. 平均；一般说来
 平均起来；按平均值；平均而言"
on an average,"na. 平均；一般说来
 平均起来；平均而言；按平均"
on behalf of,"na. 替；为…的利益
 代表；代表某人；以…名义"
on hand,"na. 现有；出席；在近处
 在手边；在场；在手头"
on paper,"na. 纸上；统计上；理论上
 以书面形式；在纸上；在名义上"
on short notice,"na. 忽然；急忙；“at/on short notice”的变体
 一接到通知就；在很短的时间内；临时通知"
on the contrary,"na. 反之
 正相反；相反地；相反的"
on the road,"na. 在旅行中；(剧团等)在巡回演出中
 在路上；在旅途中；浪荡世代"
on the side,"na. 顺便；作为副业；略略添上
 作为兼职；暗地里；作为兼职或副业"
on the spot,"na. 当场；立刻；用现货；(人)准备妥当
 在现场；在场；马上"
on the surface,"na. 表面上
 外表上；在表面上；表面上的"
on the whole,"na. 整体上说
 总的来说；大体上；基本上"
once for all,"na. 只此一次；断然
 一劳永逸地；永远地；彻底地"
once and for all,"ph. 一劳永逸地
 最后一次；彻底地；只此一次"
only if ...,
only when, 只有当；除非；只有当…才能
original purpose,
originate from,"v. 起源于；发源于
 来源于；来自；起源於"
other than,"na. 与…不同；除了
 不同于；除…之外；而不是"
out of hand,"na. 即时；脱手；告终；难对付
 无法控制；失去控制；失控"
out of style,"na. 没有样子；“in/out of style”的变体
 过时的；不时髦；不时髦的"
over time,"conj. 随着时间的过去
 三十拉警报；随着时间的推移；久而久之"
owe to,"v. 由于；把…归功于
 应该把…归功于；欠；因为"
package deal,"un. 一揽子交易
 一揽子交易中的条款；一揽子工程；一揽子计划"
part and parcel of sth.,
part with,"na. 跟…分别；解雇；卖掉(东西)
 放弃；割舍；辞退"
pass away,"na. 消失；Vi. 经过；去；终止
 去世；逝世；过世"
pass on,"na. “pass away”的变体；递；传达；通过
 传递；传授；把…传给别人"
patriotism ideology,
pave the way for,"na. 为…铺平道路；使…容易到来
 为…创造条件；为…做好准备；为…铺路"
persist in,"v. 坚持
 固执；坚持不懈；坚持不懈，执意"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
pin down,"na. 强迫(人)承认条约；用…束缚住；阻止；牵制
 确定；压制；使受约束"
play a role in,"v. 起作用于
 在……中起作用；在……扮演一个角色；在……中扮演角色"
play with,"na. 玩弄(火等)；以…自娱
 玩耍；和……一起玩；和…玩"
plough through,"un. 破浪航行
 费劲地阅读；吃力地钻研，艰难地通过；费力的阅读"
point of view,"n. 观点；态度；意见；看法
 视角；视点；角度"
point out,"na. 指出
 指明；说明；指示"
pose a challenge, 提出某种挑战；提出挑战
pose a threat to, 对…有一种威胁；对……构成威胁；对……造成威胁
pour into, 不断地流进; 注入; 灌注; 倾注
pour out,"v. 倾吐；诉说
 涌出；倾诉；倾倒"
prejudice against, 偏重；对……的偏见；对……偏见
preparation for, 准备；为…做的准备；为…做准备
primary language, 主语言；主要语言；主要语言文字种类
prior to,"adj. 前于
 此前；在…之前；先于"
pursuit of,
push aside,"v. 推开
 把…推到一边；拨开；扒开"
push away,"na. 推开
 推球；开始助跑；是推开"
put aside,"na. “set aside”的变体
 储蓄；撇开；放在一边"
put down to, 归因于；说…因而起；归因为
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
 提前；推荐；表提出"
put sth. into effect,
bring sth. into effect,
put to use,"na. 用
 利用；使用；运用"
racial discrimination,"n. 种族歧视
 种族被歧视；反种族歧视；种施歧视"
radical viewpoint,
raise suspicion,
range from A to B,
rare bird, 珍禽；珍稀鸟类；奇异珍贵的宝物
rather than,"na. 而不
 而不是；宁愿；与其"
ready for, 准备好干某事; 准备供（某人、事）用的; 准备应付; 对付
recruit volunteers,
refer to,"v. 查阅；提到
 参考；涉及；谈到"
refer to ... as,"v. 提交；归类；称谓
 把…称作；把…当作；称为"
reflect on,"v. 考虑；回想
 反省；思考；仔细考虑"
regardless of,"prep. 不管；不顾；不理会
 不论；无论；不注意"
respond to,"v. 响应
 对…反应；回答；对…作出反应"
rest on,"na. 被支持在…上；(目光等)停留在…上
 依靠；依赖；被搁在"
rest upon,"na. 被支持在…上；(目光等)停留在…上
 依赖；依靠；依赖于"
result in,"na. 终于(失败)
 导致；结果是；造成"
retreat from,"v. 放弃；撤退
 从退出；从……退却；避开"
return to,"v. 回到；返回；还给；降到
 返回到；恢复；回来"
root in, 扎根于；来源于；起因于
root ... in,
run dry,"na. 干涸；(奶,水等)不出；在干燥的情况下操作；(乳牛)不产奶
 流干；枯竭；干枯"
run for,"na. 去叫(…)；做…的候选人
 竞选；让…竞选；竞选职位"
run out,"na. 耗尽；用光；过有效期；失效
 用完；用尽；到期"
run over,"v. 轧过；碾过；演练；排练
 辗过；溢出；浏览"
rush through,"v. 匆匆完成
 匆忙做完；快速通过；匆忙通过"
saturate ... with,
scale back,"na. 相应缩减
 按比例缩减；减少；缩小"
scale down,"na. (按比例)缩减；分频；“scale back”的变体
 按比例缩小；缩小比例；按比例减少"
see to,"na. 注意；留心；当心；检查
 负责；照料；留意"
send out,"na. “send forth”的变体
 发出；派遣；发送"
serve as,"v. 用作；充当
 作为；担任；当作"
set off,"na. 分；分割；划开；区划
 出发；动身；引起"
severe criticism,
sharp criticism,
show off,"na. 卖弄；自以为是；趾高气扬；炫耀
 出风头；摆谱儿；使显眼"
show up,"na. 显眼；揭发；嘲笑；露面
 出现；出席；揭露"
shut up,"na. 关住；监禁；密封；停止
 闭嘴；住口；关闭"
side with,"v. 援助；偏袒
 支持；一边，支持；站在…一边"
single currency, 单一货币；统一货币；这里指欧元
single out,"v. 挑选出；精选出
 挑出；是选出，挑出的意思；脱颖而出"
sink in,"un. 晕倒；西斜；渗入；打进心坎
 被理解；被了解；被完全理解"
skilled at,adj.精通...的
slacken off,"un. 松劲
 萧条；懈怠；松懈"
snatch at,"v. 抓住
 抓取；设法抓住；抢取"
soak up,"v. 吸取
 吸收；摄取；吸收摄取"
social conflict, 社会冲突；社会矛盾；社群冲突
social environment,"na. 社会环境
 社交环境；社会和文化环境；社会的环境"
speculate about,"v. 思考
 猜测；推测；思索某事"
speculate on,"v. 思考
 思索；考虑；推测"
speed up,"na. 加快(机器等的)速度；使加紧做
 加速；加快速度；增加速度"
splash out, 挥霍；大肆挥霍；随意花钱
spread over,"na. (根据特殊需要而作的)部分工时调整
 遍布；传遍；遍布在"
stand for,"na. 忍耐；忍受；主张；拥护
 代表；象征；代替"
start with,"v. 以…开始
 以……开始；从…开始；首先"
stay away from,"un. 退避三舍；回避；不要到…去；停止和…交往
 远离；与……保持距离；离…远点"
step up,"v. 加紧；走上前；登上；增加
 舞出我人生；提高；舞出真我"
stick to,"na. 忠于
 坚持；粘住；遵守"
stick with, 坚持；继续支持；坚持做
straight up,"un. 真的
 不加冰块的；净饮；快快说清楚"
stumble on,"un. 踌躇地转着；碰上
 偶然发现；无意中发现；绊倒"
stumble upon,"un. 踌躇地转着；碰上
 偶然发现；偶然找到；被卷入"
stumble across,"un. 踌躇地转着；偶然发现
 无意中发现"
subject to,"v. 处于…中；使服从
 受制于；以……为条件；以……为准"
subscribe to,"v. 同意；赞成；订阅；定期捐款
 订购；认购；赞同"
substitute for,"v. 取代；替代
 代替；替换；的替代物"
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚; 闹; 罹
survival of the fittest,"un. 最适者生存；适应生存
 优胜劣汰；适者生存法则；物竞天择"
survival rate,"n. 成活率
 生存率；存活率；留任率"
swear to,"na. “swear”的变体
 断言；发誓；保证某事"
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
 占便宜；充分利用；对……加以利用"
take effect,"na. 有效验；生效
 起作用；见效；奏效"
take in,"na. 加以考虑；访问；收进；收容
 欺骗；吸收；接受"
take into account,"na. 考虑
 把…考虑进去；考虑到；顾及"
take into consideration,"v. 顾及
 考虑到；把……考虑进去；予以考虑"
take its toll, 造成损失；造成伤亡；伤害某人
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
take on oneself, 主动承担；把归咎自己；把归咎自己擅自
take upon oneself,"na. 负担；毅然
 承担；大胆；亲自负起某项责任"
take over,"na. 接管；继承
 接收；接任；接替"
take pains,"na. 费苦心；尽力
 煞费苦心；下苦功；操心"
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
take root,"na. “strike root”的变体
 生根；扎根；生根，扎根"
take to,"na. 嗜好；开始；参加；逃入
 喜欢；从事；喜爱"
take turns,"na. 替换
 轮流；轮流换班；轮流做某事"
take up,"na. 拿起；举起；拾起；给搭(火车等)
 占据；从事；开始"
take a nap,"na. 睡午觉；打一个瞌睡
 小睡一下；打盹；打个盹"
get a nap,
have a nap,"na. 睡午觉；打一个瞌睡
 打个盹；小睡；打盹"
take ... to heart,"v. 非常关心
 认真；认真关注；对…耿耿于怀"
lay ... to heart,
that is,"na. 即；用于纠正之前说过的内容
 也就是说；那是；那就是说"
i.e.,"adv. 也就是
abbr. （拉丁）即（id est）"
the local culture,
the prime objective,
there and then,"na. “then and there”的变体
 当时当地；当场；在当时当地"
think highly of,"na. 尊重；评价极高
 看重；器重；高度评价"
think poorly of,"na. 不佩服
 低估；不放在眼里；轻视"
think of ... as,
time zone,"n. 时区
 选择时区；时间区域；时区管理"
to begin with,"na. 首先；本来
 第一；一开始；起初"
to start with,"na. 首先
 第一；作为开始；一开始"
touch on,"na. 说到
 涉及；提及；谈及"
treat to, 款待；招待；请客
tune in,"na. 调谐；收听；开始
 收看；调入；调准"
tune in to sth.,
turn around,"na. 转身；使向好的方向转变
 回转；转过身；转过来"
turn back,"na. 同“turn down ”
 折回；往回走；翻回到"
turn off,"v. 关掉
 关上；关闭；解雇"
